,B_mag,Proton_Temp,Proton_dens,Plasma_speed,AP_ratio,Flow_pres,E,Alfven_MN,Kp,R,DST,AE_index,Proton_flux1,Proton_flux2,Proton_flux4,Proton_flux10,Proton_flux30,Proton_flux60,Ap,PC_index,AL_index,AU_index,Mag_MN
1981.7820000000002,5.07,100074.55,7.15,418.32,0.06,2.42,0.02,7.62,25.3,211.88,-21.56,237.87,198.06,80.14,24.37,6.65,1.82,1.04,15.56,1.11,-134.62,102.26,5.01
1981.785,5.12,101075.71,7.23,418.94,0.06,2.48,-0.01,7.61,25.42,212.07,-21.86,238.68,218.89,90.88,28.58,7.94,2.04,1.15,15.85,1.1,-135.07,102.61,5.01
1981.7879999999998,5.12,101051.25,7.21,419.59,0.06,2.48,-0.02,7.61,25.46,212.41,-22.04,238.68,225.65,94.46,30.06,8.43,2.12,1.2,15.87,1.1,-135.17,102.52,5.01
1981.79,5.13,101104.72,7.19,420.16,0.06,2.48,-0.03,7.59,25.41,212.84,-22.1,237.83,227.31,95.47,30.53,8.61,2.15,1.21,15.83,1.1,-134.7,102.14,5.0
1981.793,5.15,101032.67,7.18,420.6,0.06,2.48,-0.05,7.58,25.44,213.22,-22.06,237.2,228.13,96.01,30.81,8.71,2.17,1.22,15.84,1.09,-134.23,101.99,4.98
1981.796,5.15,101355.96,7.15,420.83,0.06,2.47,-0.06,7.56,25.39,213.55,-22.03,236.32,227.72,95.92,30.81,8.71,2.16,1.22,15.79,1.09,-133.71,101.63,4.98
1981.799,5.16,101749.27,7.14,421.45,0.06,2.48,-0.05,7.56,25.45,213.74,-22.03,236.74,227.54,95.79,30.77,8.7,2.16,1.22,15.83,1.09,-134.01,101.74,4.98
1981.8010000000002,5.16,102577.86,7.13,422.51,0.06,2.48,-0.04,7.55,25.59,213.89,-22.33,238.2,226.93,95.48,30.67,8.67,2.15,1.21,16.08,1.1,-135.44,101.77,4.98
1981.8039999999999,5.15,102957.37,7.13,422.96,0.06,2.49,-0.03,7.56,25.66,213.79,-22.72,238.69,226.36,95.14,30.54,8.63,2.14,1.21,16.17,1.11,-135.99,101.7,4.99
1981.807,5.16,103181.5,7.14,423.32,0.06,2.5,-0.02,7.55,25.8,213.69,-23.18,239.95,225.33,94.69,30.4,8.59,2.13,1.2,16.44,1.12,-137.39,101.56,4.99
